Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/home/evgrart/opi3;4.49;100.00%;0;2376
/home/evgrart/opi3/src/main;3.47;77.41%;0;1996
/home/evgrart/opi3/src/main/java/com/example/lab3;3.45;76.97%;0;1926
/home/evgrart/opi3/src/main/java/com/example/lab3/beans;1.01;22.56%;0;321
/home/evgrart/opi3/src/main/java/com/example/lab3/util;0.83;18.61%;0;642
/home/evgrart/opi3/src/main/java/com/example/lab3/model;0.44;9.86%;0;321
/home/evgrart/opi3/src/main/java/com/example/lab3/service;0.21;4.60%;0;321
/home/evgrart/opi3/src/main/webapp;0.02;0.43%;0;53
/home/evgrart/opi3/src/main/webapp/WEB-INF;0.00;0.07%;0;27
/home/evgrart/opi3/src/main/webapp/resources;0.00;0.00%;0;8
/home/evgrart/opi3/src/main/webapp/resources/css;0.00;0.00%;0;4
/home/evgrart/opi3/src/main/webapp/resources/js;0.00;0.00%;0;4
/home/evgrart/opi3/src/main/resources;0.00;0.01%;0;17
/home/evgrart/opi3/src/main/resources/i18n;0.00;0.01%;0;8
/home/evgrart/opi3/src/main/resources/META-INF;0.00;0.00%;0;9
/home/evgrart/opi3/ant-build;0.73;16.19%;0;318
/home/evgrart/opi3/ant-build/javadoc;0.73;16.17%;0;289
/home/evgrart/opi3/ant-build/javadoc/com/example/lab3;0.65;14.42%;0;144
/home/evgrart/opi3/ant-build/javadoc/com/example/lab3/model;0.24;5.38%;0;27
/home/evgrart/opi3/ant-build/javadoc/com/example/lab3/service;0.20;4.46%;0;27
/home/evgrart/opi3/ant-build/javadoc/com/example/lab3/beans;0.13;2.85%;0;27
/home/evgrart/opi3/ant-build/javadoc/com/example/lab3/util;0.05;1.17%;0;36
/home/evgrart/opi3/ant-build/javadoc/script-dir;0.00;0.00%;0;12
/home/evgrart/opi3/ant-build/javadoc/legal;0.00;0.00%;0;4
/home/evgrart/opi3/ant-build/classes;0.00;0.01%;0;17
/home/evgrart/opi3/ant-build/classes/META-INF;0.00;0.01%;0;9
/home/evgrart/opi3/ant-build/classes/i18n;0.00;0.00%;0;8
/home/evgrart/opi3/ant-build/native2ascii;0.00;0.00%;0;8
/home/evgrart/opi3/.vscode;0.04;1.00%;0;4
/home/evgrart/opi3/ant;0.00;0.03%;0;8
/home/evgrart/opi3/scripts;0.00;0.00%;0;4
/home/evgrart/opi3/.github;0.00;0.00%;0;24
/home/evgrart/opi3/.github/java-upgrade;0.00;0.00%;0;12
/home/evgrart/opi3/.github/java-upgrade/hooks/scripts;0.00;0.00%;0;8
/home/evgrart/opi3/.github/modernize/java-upgrade;0.00;0.00%;0;12
/home/evgrart/opi3/.github/modernize/java-upgrade/hooks/scripts;0.00;0.00%;0;8
