# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.duration,1779898162938000000,1779898213466000000,306
cacheStateStorage.set.counter,1779898162938000000,1779898213466000000,95
cacheStateStorage.get.counter,1779898162938000000,1779898213466000000,13
cacheStateStorage.get.duration,1779898162938000000,1779898213466000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1779898162938000000,1779898213466000000,1125251
NonBlockingReadAction.failedExecutionsCount,1779898162938000000,1779898213466000000,0
NonBlockingReadAction.finalizedExecutionsCount,1779898162938000000,1779898213466000000,1000
AWTEventQueue.dispatchTimeTotalNS,1779898162938000000,1779898213466000000,2400919482
NonBlockingReadAction.failedExecutionTimeUs,1779898162938000000,1779898213466000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1779898162938000000,1779898213466000000,41
workspaceModel.update.unloaded.entities.ms,1779898162938000000,1779898213466000000,0
workspaceModel.updates.precise.ms,1779898162938000000,1779898213466000000,44
workspaceModel.updates.ms,1779898162938000000,1779898213466000000,246
workspaceModel.pre.handlers.ms,1779898162938000000,1779898213466000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1779898162938000000,1779898213466000000,0
workspaceModel.cachedValue.clear.count,1779898162938000000,1779898213466000000,0
workspaceModel.on.changed.ms,1779898162938000000,1779898213466000000,83
workspaceModel.workspaceFileIndexData.getPackageName.ms,1779898162938000000,1779898213466000000,14
workspaceModel.workspaceFileIndexData.instances.count,1779898162938000000,1779898213466000000,1
workspaceModel.on.before.changed.ms,1779898162938000000,1779898213466000000,72
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1779898162938000000,1779898213466000000,120
workspaceModel.initializing.ms,1779898162938000000,1779898213466000000,10
workspaceModel.entityStorageSnapshotImpl.instances.count,1779898162938000000,1779898213466000000,32
workspaceModel.loading.from.cache.ms,1779898162938000000,1779898213466000000,100
workspaceModel.to.snapshot.ms,1779898162938000000,1779898213466000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1779898162938000000,1779898213466000000,480
workspaceModel.cachedValue.total.get.count,1779898162938000000,1779898213466000000,6821
workspaceModel.cachedValue.calculated.count,1779898162938000000,1779898213466000000,269
workspaceModel.full.replace.project.model.ms,1779898162938000000,1779898213466000000,10
workspaceModel.cachedValueWithParameters.from.cache.count,1779898162938000000,1779898213466000000,98
workspaceModel.cachedValueWithParameters.clear.count,1779898162938000000,1779898213466000000,0
workspaceModel.workspaceFileIndexData.init.ms,1779898162938000000,1779898213466000000,244
workspaceModel.init.bridges.ms,1779898162938000000,1779898213466000000,10
workspaceModel.loading.total.ms,1779898162938000000,1779898213466000000,110
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1779898162938000000,1779898213466000000,0
workspaceModel.check.recursive.update.ms,1779898162938000000,1779898213466000000,2
workspaceModel.cachedValueWithParameters.total.get.count,1779898162938000000,1779898213466000000,99
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1779898162938000000,1779898213466000000,30
workspaceModel.workspaceFileIndexData.processFileSets.ms,1779898162938000000,1779898213466000000,0
workspaceModel.cachedValue.from.cache.count,1779898162938000000,1779898213466000000,6552
workspaceModel.updates.count,1779898162938000000,1779898213466000000,7
workspaceModel.cachedValueWithParameters.calculated.count,1779898162938000000,1779898213466000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1779898162938000000,1779898213466000000,1889
workspaceModel.replace.project.model.ms,1779898162938000000,1779898213466000000,0
workspaceModel.collect.changes.ms,1779898162938000000,1779898213466000000,0
jps.module.iml.entities.serializer.save.entities.ms,1779898162938000000,1779898213466000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1779898162938000000,1779898213466000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1779898162938000000,1779898213466000000,0
jps.save.global.entities.ms,1779898162938000000,1779898213466000000,112
workspaceModel.orphan.listener.update.ms,1779898162938000000,1779898213466000000,6
jps.global.get.library.by.name.ms,1779898162938000000,1779898213466000000,0
workspaceModel.save.cache.to.file.ms,1779898162938000000,1779898213466000000,273
jps.storage.jps.conf.reader.load.component.ms,1779898162938000000,1779898213466000000,68
jps.app.storage.content.reader.load.component.ms,1779898162938000000,1779898213466000000,14
workspaceModel.moduleManagerBridge.create.module.instance.ms,1779898162938000000,1779898213466000000,0
jps.project.serializers.save.ms,1779898162938000000,1779898213466000000,4
jps.load.project.to.empty.storage.ms,1779898162938000000,1779898213466000000,486
workspaceModel.global.apply.state.to.project.builder.ms,1779898162938000000,1779898213466000000,31
workspaceModel.load.cache.from.file.ms,1779898162938000000,1779898213466000000,268
jps.project.serializers.load.ms,1779898162938000000,1779898213466000000,291
workspaceModel.moduleBridgeLoader.loading.modules.ms,1779898162938000000,1779898213466000000,275
workspaceModel.global.updates.ms,1779898162938000000,1779898213466000000,99
workspaceModel.mutableEntityStorage.hasReferrers.ms,1779898162938000000,1779898213466000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1779898162938000000,1779898213466000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1779898162938000000,1779898213466000000,4
workspaceModel.mutableEntityStorage.to.snapshot.ms,1779898162938000000,1779898213466000000,11
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1779898162938000000,1779898213466000000,1
jps.save.changed.project.entities.ms,1779898162938000000,1779898213466000000,4
workspaceModel.moduleBridge.facet.initialization.ms,1779898162938000000,1779898213466000000,78
workspaceModel.mutableEntityStorage.put.entity.ms,1779898162938000000,1779898213466000000,31
workspaceModel.mutableEntityStorage.replace.by.source.ms,1779898162938000000,1779898213466000000,108
jps.global.initialize.library.bridges.ms,1779898162938000000,1779898213466000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1779898162938000000,1779898213466000000,0
workspaceModel.mutableEntityStorage.entities.ms,1779898162938000000,1779898213466000000,1
workspaceModel.load.cache.metadata.from.file.ms,1779898162938000000,1779898213466000000,19
workspaceModel.mutableEntityStorage.collect.changes.ms,1779898162938000000,1779898213466000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1779898162938000000,1779898213466000000,24
jps.global.handle.changed.events.ms,1779898162938000000,1779898213466000000,0
jps.library.entities.serializer.load.entities.ms,1779898162938000000,1779898213466000000,130
