Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
InjectedReferences;General;Injected references;;LOCAL;0.82;18.38%;0;76
DataFlowIssue;Java/Probable bugs;Nullability and data flow problems;JAVA;LOCAL;0.48;10.72%;0;6
ObviousNullCheck;Java/Verbose or redundant code constructs;Null-check method is called with obviously non-null argument;JAVA;LOCAL;0.32;7.10%;0;6
deprecation;Java/Code maturity;Deprecated API usage;UAST;LOCAL;0.27;6.03%;0;6
ConstantValue;Java/Probable bugs;Constant values;JAVA;LOCAL;0.17;3.80%;0;6
MagicConstant;Java/Probable bugs;Magic constant;JAVA;LOCAL;0.16;3.56%;0;6
WriteOnlyObject;Java/Probable bugs;Write-only object;JAVA;LOCAL;0.15;3.44%;0;6
UnusedAssignment;Java/Probable bugs;Unused assignment;JAVA;LOCAL;0.15;3.41%;0;6
UnsupportedChronoFieldUnitCall;Java/Probable bugs;Call methods with unsupported 'java.time.temporal.ChronoUnit' and 'java.time.temporal.ChronoField';JAVA;LOCAL;0.15;3.28%;0;6
MismatchedQueryAndUpdateOfStringBuilder;Java/Probable bugs;Mismatched query and update of 'StringBuilder';JAVA;LOCAL;0.14;3.16%;0;6
DuplicateExpressions;Java/Verbose or redundant code constructs;Multiple occurrences of the same expression;JAVA;LOCAL;0.13;2.88%;0;6
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.10;2.33%;0;6
DeprecatedMavenDependency;Kotlin;Deprecated library is used in Maven;XML;LOCAL;0.10;2.31%;0;34
KotlinTestJUnit;Kotlin;kotlin-test-junit could be used;XML;LOCAL;0.10;2.24%;0;34
resource;Java/Resource management;AutoCloseable used without 'try'-with-resources;JAVA;LOCAL;0.08;1.77%;0;6
UnnecessaryLocalVariable;Java/Data flow;Redundant local variable;JAVA;LOCAL;0.07;1.58%;0;6
MismatchedQueryAndUpdateOfCollection;Java/Probable bugs;Mismatched query and update of collection;JAVA;LOCAL;0.07;1.47%;0;6
UNUSED_IMPORT;Java/Imports;Unused import;JAVA;GLOBAL_SIMPLE;0.06;1.37%;0;76
NullableProblems;Java/Probable bugs/Nullability problems;@NotNull/@Nullable problems;JAVA;LOCAL;0.06;1.36%;0;6
RedundantOperationOnEmptyContainer;Java/Probable bugs;Redundant operation on empty container;JAVA;LOCAL;0.06;1.35%;0;6
RedundantCast;Java/Verbose or redundant code constructs;Redundant type cast;JAVA;LOCAL;0.06;1.28%;0;6
Contract;Java/Probable bugs;Contract issues;JAVA;LOCAL;0.06;1.27%;0;6
unchecked;Java/Compiler issues;Unchecked warning;JAVA;LOCAL;0.06;1.25%;0;6
ConditionCoveredByFurtherCondition;Java/Verbose or redundant code constructs;Condition is covered by further condition;JAVA;LOCAL;0.05;1.16%;0;6
removal;Java/Code maturity;Usage of API marked for removal;UAST;LOCAL;0.04;0.89%;0;6
preview;Java/Compiler issues;Preview Feature warning;JAVA;LOCAL;0.04;0.88%;0;6
ImplicitArrayToString;Java/Probable bugs;Call to 'toString()' on array;JAVA;LOCAL;0.03;0.70%;0;6
tainting;JVM languages;Non-safe string is passed to safe method;UAST;LOCAL;0.03;0.61%;0;6
ClassEscapesDefinedScope;Java/Visibility;Class is exposed outside of its visibility scope;JAVA;LOCAL;0.02;0.51%;0;6
SuspiciousNameCombination;Java/Probable bugs;Suspicious variable/parameter name combination;JAVA;LOCAL;0.02;0.49%;0;6
ResultOfMethodCallIgnored;Java/Probable bugs;Result of method call ignored;JAVA;LOCAL;0.02;0.47%;0;6
SuspiciousReturnByteInputStream;Java/Probable bugs;Suspicious byte value returned from 'InputStream.read()';JAVA;LOCAL;0.02;0.45%;0;6
DataProviderReturnType;Java/TestNG;Invalid data provider return type;JAVA;LOCAL;0.02;0.36%;0;6
CustomRegExpInspection;RegExp;Custom RegExp inspection;;LOCAL;0.01;0.32%;0;76
DuplicatedCode;General;Duplicated code fragment;;LOCAL;0.01;0.31%;0;76
UnresolvedPropertyKey;Java/Properties files;Invalid property key;JAVA;LOCAL;0.01;0.30%;0;6
SuspiciousMethodCalls;Java/Probable bugs;Suspicious collection method call;JAVA;LOCAL;0.01;0.30%;0;6
StringConcatenationInLoop;Java/Performance;String concatenation in loop;JAVA;LOCAL;0.01;0.27%;0;6
LoggingPlaceholderCountMatchesArgumentCount;JVM languages/Logging;Number of placeholders does not match number of arguments in logging call;UAST;LOCAL;0.01;0.25%;0;6
DoubleNegation;Java/Control flow issues;Double negation;JAVA;LOCAL;0.01;0.25%;0;6
ReturnInsideFinallyBlock;Java/Error handling;'return' inside 'finally' block;UAST;LOCAL;0.01;0.23%;0;6
KotlinMavenPluginPhase;Kotlin;Kotlin Maven Plugin misconfigured;XML;LOCAL;0.01;0.22%;0;34
TestFailedLine;JVM languages/Test frameworks;Failed line in test;UAST;LOCAL;0.01;0.20%;0;6
NewClassNamingConvention;Java/Naming conventions/Class;Class naming convention;JAVA;LOCAL;0.01;0.19%;0;6
JavacQuirks;Java/Compiler issues;Javac quirks;JAVA;LOCAL;0.01;0.17%;0;6
