# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writesQueuedMax,1779836796391000000,1779836849036000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1779836796391000000,1779836849036000000,55
Indexes.stubs.lookupDurationAvgMs,1779836796391000000,1779836849036000000,0.0
Indexes.entries.lookupDurationAvgMs,1779836796391000000,1779836849036000000,0.0
Indexes.entries.lookups,1779836796391000000,1779836849036000000,519
Indexes.allKeys.lookupDuration90PMs,1779836796391000000,1779836849036000000,0.0
Indexing.cache.totalCacheEvicted,1779836796391000000,1779836849036000000,233673
Indexing.cache.totalCacheAccesses,1779836796391000000,1779836849036000000,320153
Indexing.totalTimeIndexersSleptMs,1779836796391000000,1779836849036000000,0
Indexes.stubs.lookups,1779836796391000000,1779836849036000000,7730
Indexes.stubs.lookupDuration90PMs,1779836796391000000,1779836849036000000,0.0
Indexes.entries.lookupDuration90PMs,1779836796391000000,1779836849036000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1779836796391000000,1779836849036000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1779836796391000000,1779836849036000000,0.0
Indexing.writesQueuedAvg,1779836796391000000,1779836849036000000,0.0
Indexing.writesQueuedMin,1779836796391000000,1779836849036000000,0
Indexes.stubs.lookupDurationMaxMs,1779836796391000000,1779836849036000000,0.0
Indexes.entries.lookupDurationMaxMs,1779836796391000000,1779836849036000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1779836796391000000,1779836849036000000,2608
Indexing.writer_1.totalTimeSpentWritingMs,1779836796391000000,1779836849036000000,2086
Indexes.allKeys.lookups,1779836796391000000,1779836849036000000,0
Indexing.cache.totalCacheMisses,1779836796391000000,1779836849036000000,233673
Indexing.writer_2.totalTimeSpentWritingMs,1779836796391000000,1779836849036000000,42
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactManagerBridge.commit.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1779836796391000000,1779836849036000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1779836796391000000,1779836849036000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1779836796391000000,1779836849036000000,1467242
NonBlockingReadAction.finalizedExecutionsCount,1779836796391000000,1779836849036000000,922
NonBlockingReadAction.failedExecutionsCount,1779836796391000000,1779836849036000000,0
NonBlockingReadAction.failedExecutionTimeUs,1779836796391000000,1779836849036000000,0
AWTEventQueue.dispatchTimeTotalNS,1779836796391000000,1779836849036000000,4138561663
cacheStateStorage.get.counter,1779836796391000000,1779836849036000000,13
cacheStateStorage.get.duration,1779836796391000000,1779836849036000000,0
cacheStateStorage.set.duration,1779836796391000000,1779836849036000000,291
cacheStateStorage.set.counter,1779836796391000000,1779836849036000000,95
lexer.Manifest.time.ns,1779836796391000000,1779836849036000000,595871
DiskQueryRelay.taskExecutionTotalTimeUs,1779836796391000000,1779836849036000000,1693019
lexer.IgnoreLang.size.bytes,1779836796391000000,1779836849036000000,12
lexer.Manifest.size.bytes,1779836796391000000,1779836849036000000,1665
lexer.HTML.size.bytes,1779836796391000000,1779836849036000000,662356
